CC,LCOM5,WMC,CBO,RFC,DIT,NOC,LOC,NPM,isExistBug
0.244332,3,24,8,32,2,0,234,33,0
0.268437,3,33,9,36,2,0,312,37,0
0.0501742,1,91,15,30,0,0,275,0,0
0,41,53,45,53,0,1,971,2,0
0,3,13,7,24,2,0,141,30,0
0,5,9,5,17,2,0,95,32,0
0.236434,5,22,10,29,1,6,225,33,0
0.164021,5,14,6,22,2,0,149,33,0
0.136364,3,16,7,27,2,0,160,31,0
0.346939,3,27,9,31,2,0,237,35,0
0.340183,3,27,7,33,1,0,240,31,0
0.310345,4,59,10,32,2,0,361,35,1
0,1,4,1,4,1,0,77,8,0
0,1,6,2,5,1,0,91,9,0
0.301848,3,54,15,52,2,0,522,42,0
0,4,7,5,9,1,3,100,31,0
0.0999306,5,101,17,74,1,0,1006,48,0
0.0210012,2,129,66,109,2,0,841,29,0
0.431703,3,35,7,32,2,0,307,37,0
0.0703125,3,23,9,29,2,0,218,32,0
0.1375,3,16,7,27,2,0,160,31,0
0,2,169,84,171,1,2,549,336,0
0.202444,1,473,113,134,1,0,1718,4,1
0.159052,1,105,10,23,0,0,531,4,0
0,2,6,4,11,3,0,30,20,0
0.334081,3,27,9,33,2,0,247,33,0
0.0441129,1,174,21,67,2,0,714,4,1
0,5,8,5,17,2,0,89,29,0
0.45799,3,35,10,39,2,0,299,35,0
0.238924,4,36,15,54,2,0,348,41,0
0.18315,7,30,14,50,3,0,291,45,0
0,1,5,4,11,1,26,89,30,0
0.275862,3,19,8,30,2,0,174,31,0
0.330377,3,28,9,34,2,0,255,36,0
0.468553,5,37,12,50,2,0,330,37,0
0.236264,3,29,10,39,2,0,318,35,0
0.501805,3,32,9,36,2,0,321,35,0
0.120553,3,31,10,41,1,0,345,34,0
0.212866,3,42,11,45,2,0,391,39,0
0.238351,4,35,11,49,2,0,286,36,0
0.340961,3,27,9,31,2,0,237,35,0
0.10568,1,36,14,41,1,0,191,3,0
0.0731707,3,27,11,34,2,0,290,35,0
0.337104,3,27,8,33,2,0,248,33,0
0,5,9,5,17,2,0,95,32,0
0.165829,3,15,7,27,3,0,132,40,0
0.251852,3,25,10,34,1,0,241,32,0
0.326754,3,28,9,35,1,0,249,32,0
0.1341,3,56,16,43,2,1,184,15,0
0,0,11,0,6,0,0,115,6,0
0.29028,2,87,25,61,2,0,414,30,0
0.254169,3,81,17,79,2,0,841,51,0
0.412112,3,38,11,46,2,0,364,39,0
0.21118,3,28,12,40,1,0,286,33,0
0.257036,3,31,9,38,1,0,317,33,0
0.048105,18,39,7,47,1,0,517,53,0
0,3,7,8,10,2,2,91,34,0
0,10,11,3,11,0,1,166,0,0
0,1,19,12,7,1,0,77,245,0
0.117438,3,18,9,33,3,0,175,41,0
0,5,9,5,16,2,0,95,31,0
0.0891892,4,27,9,27,2,0,197,33,0
0.0566502,4,44,30,41,2,0,219,14,0
0.170569,3,36,12,43,1,0,324,33,0
0.217984,3,22,9,35,2,0,218,37,0
0.284698,3,19,7,28,2,0,172,33,0
0.244589,3,25,9,34,2,0,235,35,0
0.23251,3,25,9,34,2,0,240,35,0
0.106796,6,16,7,23,2,0,232,37,0
0.323913,3,28,7,34,3,0,246,39,0
0.332589,3,27,8,33,2,0,238,38,0
0.0380952,23,133,37,107,2,0,662,57,0
0.30721,5,29,16,31,2,0,111,21,0
0.136364,3,16,7,27,2,0,158,31,0
0.0709677,5,33,19,32,3,0,272,38,0
0,1,5,2,4,1,0,59,8,0
0.283688,3,19,8,28,2,0,171,36,0
0.283333,3,23,9,34,3,0,196,42,0
0.294717,3,65,15,62,2,0,598,44,0
0,1,13,5,11,1,22,134,28,0
0.308072,4,43,9,30,2,0,319,35,1
0,1,14,3,7,0,3,112,6,0
0.11811,3,29,11,38,2,0,283,34,0
0.252475,3,25,10,34,2,0,243,36,0
0.412112,3,38,12,46,2,0,361,39,0
0.109272,3,19,8,31,2,0,192,32,0
0.217391,3,22,10,36,2,0,216,32,0
0.334081,3,27,9,34,2,0,239,33,0
0.0942857,4,19,8,31,1,0,365,31,0
0.139241,4,17,7,23,1,0,168,29,0
0.141631,3,16,7,25,2,0,156,33,0
0.275862,3,19,8,30,2,0,174,31,0
0.296218,3,27,9,39,2,0,270,34,0
0,7,8,10,11,1,6,117,33,0
0.144442,2,298,39,131,2,0,1190,58,1
0.310083,8,82,18,77,3,0,755,55,0
0.225877,3,31,10,40,2,0,318,34,0
0.294737,3,19,8,28,2,0,171,33,0
0.211082,3,23,10,38,1,0,231,31,0
0.276014,2,71,31,62,2,0,329,21,0
0,1,14,8,17,1,2,168,36,0
0.405523,3,40,13,47,2,0,390,37,0
0.269777,3,33,9,41,2,0,303,37,0
0.399142,3,40,13,49,2,0,389,35,0
0.334081,3,27,9,33,2,0,248,33,0
0.198758,3,22,7,33,2,0,247,39,0
0.121162,1,78,23,73,0,0,611,17,1
0,1,166,24,107,0,0,992,30,0
0,1,42,11,39,0,0,385,15,0
0,1,3,3,8,0,1,52,2,0
0,1,3,1,3,0,1,224,3,0
0,2,45,5,17,0,0,252,2,0
0.0543572,1,54,2,14,0,0,3587,10,1
0,1,71,3,14,0,0,396,10,0
0,0,2,0,2,0,0,18,2,0
0,8,26,12,30,1,0,136,18,0
0,0,1,3,2,1,0,16,26,0
0,1,3,3,4,3,0,47,32,1
0,0,1,3,2,1,0,17,26,0
0,1,3,3,5,1,0,46,28,0
0,0,1,3,2,1,0,17,26,0
0,1,6,3,7,3,0,104,35,1
0,0,1,3,2,1,0,17,26,0
0,0,1,3,2,3,0,18,30,1
0,1,3,3,5,1,1,108,27,1
0,2,8,2,10,1,2,107,10,1
0.00474496,11,44,27,65,0,0,1222,33,0
0,3,34,4,26,0,9,346,25,0
0,4,12,7,16,0,1,176,9,0
0.169617,7,339,34,87,1,2,2217,19,1
0,4,5,2,5,0,6,64,5,0
0,0,1,3,2,1,0,17,26,0
0,0,9,5,15,0,1,112,8,0
0,0,1,1,1,0,1,9,1,0
0,1,1,0,1,0,4,33,1,0
0,0,1,3,2,1,0,16,26,0
0,0,1,3,3,1,0,19,26,0
0,0,6,3,8,3,0,85,33,1
0,205,205,2,205,1,0,1469,205,1
0,0,3,1,3,0,1,66,3,0
0,0,2,0,2,0,0,37,2,0
0,2,11,7,9,0,0,421,3,0
0,0,0,1,0,1,0,210,0,1
0,0,5,0,3,0,0,37,2,0
0.292954,5,52,27,20,1,0,177,4,0
0.261796,1,2194,191,460,2,0,10126,19,1
0.266927,1,56,9,38,1,0,315,17,1
0,1,43,51,31,2,0,161,35,0
0,0,13,8,12,0,1,84,0,1
0,1,35,9,24,0,1,172,1,1
0.21692,1,171,54,76,0,0,782,3,1
0,1,87,27,43,1,0,431,241,0
0.225251,2,253,78,122,2,0,1227,14,1
0,2,31,18,24,1,0,115,247,0
0,1,111,29,54,1,0,515,261,0
0,1,76,32,22,3,0,278,32,0
0.155197,1,212,40,73,3,0,885,6,0
0,1,98,39,87,1,0,280,323,0
0,0,5,3,5,0,0,28,5,0
0,1,8,9,10,6,0,37,74,0
0,1,2,5,4,4,0,18,66,0
0,3,6,11,12,6,0,37,57,0
0,3,5,6,7,4,0,35,32,0
0,2,4,6,8,5,0,25,68,0
0,1,14,8,12,4,0,46,44,0
0,2,5,7,10,5,0,26,49,0
0,1,3,7,4,5,0,19,48,0
0,1,4,2,4,3,0,15,26,0
0.561728,1,19,4,11,6,0,89,92,0
0.376033,2,24,11,17,7,0,122,105,0
0.575949,1,19,4,11,6,0,88,94,0
0,3,7,6,8,8,0,45,108,0
0.616949,1,19,4,11,7,0,83,93,0
0.631944,1,19,4,11,7,0,81,92,0
0.225806,1,35,12,13,8,0,148,109,1
0,3,7,6,8,7,0,44,89,0
0,3,8,5,10,6,0,31,87,0
0,2,5,4,7,3,0,22,29,0
0,3,7,5,9,7,0,27,104,0
0,2,6,7,11,5,0,33,48,0
0,1,4,10,9,6,0,18,71,0
0,2,14,10,11,6,0,45,91,0
0,1,2,1,3,3,0,12,24,0
0.4,1,14,7,11,5,0,45,79,0
0.39834,1,12,7,12,5,0,48,80,0
0,2,9,8,11,4,0,37,54,0
0,2,3,7,6,4,0,17,54,0
0,2,4,8,7,4,0,27,54,0
0,1,4,3,4,3,0,14,26,0
0.595041,2,18,8,14,8,0,102,104,0
0,1,11,10,10,6,0,34,88,0
0,1,9,12,13,7,0,40,103,0
0.159363,2,18,8,19,6,0,81,89,0
0,2,5,5,8,7,0,31,101,0
0.17094,2,20,8,17,6,0,81,91,0
0,3,5,5,9,6,0,27,79,0
0.144462,8,1163,119,484,3,0,4641,102,1
0.425256,2,267,6,34,2,0,824,56,0
0,0,1,0,1,0,0,16,1,0
0,0,2,3,3,4,0,11,72,0
0,1,6,13,13,4,0,30,145,0
0,0,3,5,5,4,0,15,72,0
0,0,2,3,3,4,0,11,75,0
0,0,3,6,5,5,0,19,90,0
0.77562,1,53,1,5,0,0,221,3,0
0,0,3,5,5,4,0,15,69,0
0.327676,1,324,38,172,2,2,1651,83,0
0.41954,1,11,10,13,7,0,58,108,0
0.392473,1,12,12,15,7,0,62,121,0
0.272388,1,18,18,25,7,0,85,164,0
0,0,2,3,3,4,0,11,71,0
0,3,69,35,40,1,2,325,9,1
0,1,28,17,10,3,0,114,30,0
0,1,34,13,19,3,0,169,6,0
0,0,3,1,3,0,0,17,3,0
0,2,6,10,11,6,0,32,57,0
0,2,11,7,11,4,0,39,44,0
0,2,9,6,10,6,0,28,91,0
0,1,2,6,4,5,0,12,48,0
0,1,4,2,4,3,0,15,26,0
0,2,5,6,11,5,0,30,48,0
0.25656,2,24,10,14,5,0,74,79,0
0,2,4,5,7,3,0,22,25,0
0,1,4,3,4,3,0,13,26,0
0.366337,2,8,9,10,8,0,57,99,0
0,2,5,8,9,8,0,30,100,0
0,2,16,14,15,6,0,68,90,0
0,1,14,13,14,7,0,45,103,0
0,2,5,6,9,8,0,19,96,0
0,1,10,10,14,6,0,40,82,0
0,2,15,13,15,7,0,42,100,0
0,2,11,12,15,6,0,37,84,0
0,2,5,5,9,7,0,19,89,0
0.503743,6,176,62,135,3,1,1214,88,1
0,1,10,2,6,2,0,47,51,0
0,239,239,95,239,0,24,872,239,0
0,0,10,4,10,0,1,76,10,0
0.688224,1,1701,66,234,1,2,8433,45,1
0,2,8,2,7,0,0,37,4,0
0,2,84,10,32,0,0,361,19,1
0.0786899,1,112,36,76,1,3,881,16,1
0,1,27,1,11,0,0,193,11,0
0.986301,4,4,1,4,0,0,39,4,0
0.514517,3,147,34,152,2,0,1380,70,0
0,1,30,4,12,0,0,160,4,0
0,1,38,1,5,0,0,173,4,1
0.163347,1,166,39,53,0,1,688,2,0
0.390582,2,190,52,126,3,1,897,72,0
0,25,25,7,25,1,0,189,25,0
0.266667,1,49,8,15,3,0,124,6,0
0.322811,2,56,13,41,6,0,247,113,0
0.119072,15,183,31,84,1,6,721,19,1
0.261153,9,104,44,84,2,3,440,45,0
0,6,17,11,16,3,3,112,39,0
0.333134,2,101,37,76,4,3,373,76,1
0.0920245,1,122,37,43,4,3,385,68,1
0.340426,4,42,22,41,4,0,146,59,0
0.193922,1,43,22,43,5,2,161,53,0
0,1,38,15,35,4,0,161,64,0
0,1,61,19,47,4,0,212,65,0
0.215686,3,14,13,21,6,2,80,85,0
0.137778,2,40,18,43,5,0,177,74,0
0.282051,3,13,10,18,6,2,75,86,0
0,1,41,25,56,3,0,193,33,1
0,1,77,32,64,4,1,242,72,0
0.707271,2,422,20,126,5,4,1888,107,0
0,1,30,9,25,3,0,125,35,0
0,2,9,6,9,3,3,57,30,0
0,2,16,12,23,4,0,78,32,0
0,2,34,25,35,3,0,122,32,0
0.0809717,1,152,28,78,4,0,537,79,1
0.241379,3,18,9,13,6,0,82,72,0
0,1,18,22,32,4,1,99,65,0
0.115502,7,52,33,63,3,0,306,54,1
0.213961,1,48,14,38,6,0,352,116,0
0.047699,1,183,36,77,2,0,653,40,1
0.0771605,2,48,19,34,5,2,167,81,0
0,1,141,21,62,5,0,488,92,0
0.223785,3,122,49,106,3,0,484,58,1
0,2,17,12,22,4,0,81,32,0
0,1,32,17,50,3,0,183,31,0
0.718062,3,26,9,12,6,0,95,72,0
0,6,9,11,15,3,0,44,32,0
0.415643,2,179,26,76,6,0,836,119,0
0.200321,2,104,34,76,3,2,415,41,1
0.262388,9,252,31,95,3,16,953,60,0
0,2,6,5,9,6,0,64,80,0
0.3,4,11,9,14,6,0,51,73,0
0.13056,1,88,38,76,4,5,279,46,0
0.222142,3,174,36,107,5,4,605,88,1
0.696581,3,26,9,12,6,0,96,72,0
0.029728,1,91,19,53,3,0,386,31,0
0,1,91,30,95,3,0,505,31,1
0,1,47,16,42,3,0,233,32,0
0,2,11,5,9,2,5,62,24,0
0,2,23,19,28,5,0,113,55,0
0,1,18,17,36,5,0,96,90,1
0.0783939,3,37,13,22,6,1,133,77,0
0,1,2,4,4,7,0,13,79,0
0.215132,2,293,51,84,2,3,844,26,1
0.375717,1,58,22,44,5,1,178,83,0
0,1,24,18,31,4,0,95,66,0
0,4,5,10,14,7,0,29,88,0
0,4,5,9,14,7,0,28,89,0
0,1,31,19,32,6,1,128,95,1
0,6,28,14,31,5,0,121,80,0
0.278846,1,63,19,43,5,1,223,85,0
0,3,16,13,26,6,1,73,84,0
0,3,11,11,16,4,0,53,40,0
0,3,11,15,16,7,2,56,102,0
0.168196,3,20,14,26,6,2,87,83,0
0,1,20,15,31,3,0,126,32,0
0,3,8,8,10,4,3,40,66,0
0.181637,1,62,28,63,4,3,230,44,0
0.0711806,3,47,13,18,6,1,139,74,0
0,1,2,4,4,7,0,13,76,0
0,2,3,1,4,5,3,17,68,0
0,2,5,6,6,5,1,24,69,0
0,1,68,23,35,2,2,206,22,0
0.267471,2,171,39,103,4,5,541,77,1
0.216955,3,70,33,51,3,4,218,51,1
0,2,12,7,10,5,2,50,80,0
0.295082,1,16,8,11,5,1,56,71,0
0,7,9,9,14,6,0,50,74,0
0,2,4,1,5,5,5,24,69,0
0.326468,2,53,13,41,6,0,246,113,0
0.820397,3,54,6,29,4,4,1499,84,0
0.277493,1,101,22,61,7,2,345,95,1
0.117601,1,69,22,58,7,1,280,96,1
0,2,10,9,14,6,0,54,87,0
0,2,8,7,10,6,0,41,86,0
0.25,1,119,39,94,5,2,443,86,1
0.159078,5,338,38,133,6,3,1074,100,1
0,4,12,11,20,7,1,57,93,1
0,3,20,18,32,6,1,121,86,0
0,3,39,20,42,5,4,123,79,0
0.696203,3,17,12,18,4,4,54,68,1
0,1,74,29,57,3,2,247,35,1
0,1,9,9,12,5,0,47,71,0
0.259597,4,261,39,130,6,5,858,97,1
0,3,20,15,29,5,6,79,80,0
0,7,25,13,25,2,19,127,29,0
0.288,6,21,13,22,5,3,104,74,0
0,1,9,5,10,6,0,61,79,0
0,2,13,5,12,3,2,55,37,0
0,7,10,11,18,6,2,51,86,0
0,1,79,28,68,3,0,379,31,1
0,2,32,20,56,4,0,194,39,0
0,9,22,16,27,5,3,111,78,0
0,1,13,15,25,3,0,61,31,0
0.307087,4,11,9,14,6,0,52,73,0
0.201866,1,135,31,92,4,0,846,42,1
0.229246,1,339,64,186,3,2,1363,64,1
0.358289,2,29,13,25,4,0,97,45,0
0,7,61,23,42,4,3,187,78,0
0.0807577,1,58,20,60,5,0,290,91,0
0.0518192,1,40,19,50,3,0,258,31,0
0.30485,1,26,13,27,6,0,108,90,0
0,3,45,11,23,2,0,144,10,0
0.0576058,1,43,10,25,2,1,171,11,1
0,1,4,6,4,1,2,51,9,0
0,1,6,7,9,3,0,34,14,0
0,1,14,4,13,2,2,72,7,0
0,1,7,0,2,0,0,26,1,0
0.0850418,1,76,12,31,1,0,252,9,0
0.134606,1,708,38,121,1,1,2836,30,1
0.22973,1,95,19,35,1,0,360,12,0
0.275391,1,22,7,15,3,1,100,30,0
0,1,13,5,10,4,0,30,31,0
0.124248,2,263,19,103,3,0,1076,46,0
0.239316,1,14,0,10,0,5,72,9,0
0.449123,1,13,0,9,0,0,121,9,0
0,1,7,1,4,1,0,36,3,0
0.0695946,2,86,21,59,2,1,373,26,0
0,1,10,4,10,3,0,44,28,0
0,1,17,2,11,1,0,118,15,0
0.0500245,1,113,11,42,2,2,475,28,0
0.336032,1,13,4,10,3,1,39,29,0
0,1,17,5,11,4,0,40,30,0
0,3,53,5,21,1,1,243,12,1
0,0,1,0,1,0,0,9,1,0
0,3,12,3,15,2,0,72,16,0
0.238602,1,37,1,14,0,0,196,10,0
0.66686,3,1720,43,420,0,1,6673,306,1
0.271598,1,121,16,60,1,0,978,21,1
0.335043,1,33,0,7,0,0,136,7,0
0,1,15,5,9,1,0,68,7,1
0.335043,1,33,0,7,0,0,136,7,0
0.809278,1,37,0,10,0,0,158,9,0
0,0,3,1,3,0,2,21,3,0
0.806507,1,37,0,10,0,0,158,9,0
0.343545,1,26,0,10,0,0,146,9,0
0.247409,1,104,3,21,0,0,361,13,0
0.189516,1,93,17,88,1,0,416,338,1
0.360743,1,55,3,17,0,0,224,13,0
0,1,3,1,5,0,0,24,3,0
0,1,13,2,9,0,1,56,7,0
0,1,24,4,10,0,0,95,6,0
0,1,3,0,3,0,0,22,3,0
0,1,4,0,4,0,0,32,4,0
0,1,16,4,14,0,0,92,12,0
0,1,48,4,64,1,0,198,43,0
0,2,48,21,28,2,1,222,35,1
0.260482,2,76,11,31,2,0,292,30,0
0.10031,11,130,24,55,1,4,572,25,1
0.266212,7,52,4,42,0,2,374,41,0
0,1,7,9,9,3,0,76,39,1
0,2,8,5,11,2,0,39,31,0
0,1,7,7,9,3,0,31,33,0
0.310005,2,106,15,45,3,0,443,40,0
0.378744,1,75,4,10,2,1,351,56,0
0,3,6,5,10,2,2,33,30,0
0.110714,6,362,10,48,1,2,1666,48,0
0,3,7,2,6,2,0,31,38,0
0,2,12,2,12,2,0,41,44,0
0,2,12,2,12,2,0,44,44,0
0.29649,1,411,5,19,0,0,1357,16,1
0,1,4,0,2,0,0,31,2,0
0.870794,1,915,13,45,1,9,1581,34,0
0,2,13,2,12,2,0,55,44,0
0,2,12,2,12,2,0,52,44,0
0,2,27,2,12,2,0,87,44,0
0,2,13,2,12,2,0,46,44,0
0,2,12,2,12,2,0,41,44,0
0,2,5,2,5,2,0,34,37,0
0.183415,1,54,9,20,0,1,185,6,0
0,1,16,4,8,0,1,42,1,0
0,1,64,14,51,2,0,255,81,0
0.30315,4,72,5,15,2,0,192,70,0
0,0,3,4,3,3,0,12,26,0
0.128996,1,304,40,148,3,1,1032,154,1
0,4,9,8,9,0,6,96,9,0
0.0635018,1,208,35,97,2,2,901,92,1
0.138837,2,48,13,35,4,0,245,161,0
0.0869061,1,320,40,161,2,0,1179,74,1
0.0414914,2,233,38,128,2,0,776,78,1
0,1,24,13,12,0,0,94,7,0
0.226714,3,81,22,48,2,3,343,40,1
0,2,7,3,8,1,1,33,12,0
0,1,3,5,5,2,0,14,15,0
0.0537634,1,31,6,7,0,0,136,6,0
0,0,1,1,1,0,0,10,1,0
0.307542,3,49,24,40,5,0,233,202,0
0,3,52,20,24,2,3,219,24,0
0.142298,2,356,45,128,1,0,1383,33,1
0,4,12,9,17,5,0,44,192,0
0.185864,5,275,32,120,1,4,1031,67,1
0.110775,2,110,34,58,3,0,461,103,1
0.069354,1,298,26,98,0,1,852,3,1
0.114964,2,303,21,96,1,0,788,5,1
0,3,7,10,8,4,0,59,158,0
0,1,50,11,23,4,2,205,188,1
0,2,48,12,34,1,1,211,16,1
0,1,6,6,9,3,0,41,44,0
0.111404,1,113,18,49,3,0,503,84,0
0.37987,1,40,12,24,2,1,247,74,0
0.183035,4,259,29,142,3,1,1054,175,1
0,2,7,3,8,1,0,41,12,0
0,1,3,3,4,3,0,24,43,0
0,1,10,5,5,2,0,32,71,0
0,1,3,1,4,2,0,20,17,0
0,2,14,4,9,3,0,74,136,0
0.1024,6,38,11,38,4,0,167,187,0
0.237187,8,357,25,115,2,8,1180,129,1
0.0852121,5,1175,55,229,1,3,3701,68,1
0,1,18,1,7,0,0,54,5,0
0.182899,2,476,45,172,3,1,1636,175,1
0,0,2,7,5,3,0,33,26,0
0,0,1,6,2,3,0,10,41,0
0.289959,1,77,19,25,2,0,401,74,1
0.319786,19,330,20,78,1,4,1071,63,1
0.0580964,4,117,17,49,3,1,436,151,1
0,0,10,7,11,1,0,44,8,1
0,1,18,7,14,3,0,70,131,0
0,1,2,3,3,2,0,13,69,1
0,1,12,8,10,1,2,52,16,0
0.374308,3,151,17,56,3,0,643,154,1
0.142709,2,462,11,73,1,2,1635,1,1
0.131559,2,231,33,64,2,4,883,4,1
0,1,2,0,2,0,0,18,2,0
0.440135,2,2243,132,600,1,5,10304,54,1
0,1,39,13,28,1,0,210,45,0
0.164304,1,96,25,51,2,0,447,60,0
0.134529,9,69,16,36,0,6,314,32,0
0.387795,1,60,13,27,1,1,243,45,0
0,1,8,3,10,1,0,39,39,0
0.433541,1,65,20,38,2,0,302,60,0
0.606526,1,34,11,18,2,0,140,50,0
0.364238,1,141,29,59,1,0,618,53,0
0,1,8,3,10,1,3,36,39,0
0.360301,1,176,24,61,2,0,715,65,0
0.288641,2,46,14,31,1,0,259,46,0
0,1,54,6,23,2,0,225,65,0
0.531034,1,10,0,1,0,0,60,1,0
0.941664,1,1240,9,75,1,4,3867,48,1
0,2,57,2,17,0,0,336,14,0
0.0864486,1,104,59,83,1,0,574,1,0
0.228616,2,122,21,20,0,2,530,0,0
0.154153,1,455,17,76,1,0,2499,4,0
0,2,47,7,24,1,0,257,17,0
0,1,22,8,10,0,0,74,3,0
0,1,12,6,17,0,1,54,6,0
0,0,2,3,4,1,1,18,8,0
0,0,1,3,2,3,0,8,10,0
0,0,1,3,2,2,1,8,9,0
0.135678,1,58,6,22,2,1,272,22,0
0,1,30,7,21,1,4,215,10,0
0,1,18,9,18,0,1,163,7,0
0.213615,1,1356,105,508,1,2,7213,411,1
0,0,1,0,1,0,0,6,1,0
0.16092,1,16,1,10,0,0,57,8,0
0.432927,1,75,0,3,0,0,404,2,0
0,1,28,0,10,0,1,106,6,0
0,1,25,0,9,0,0,114,8,0
0.351429,1,23,0,8,0,0,82,7,0
0.472269,1,32,1,12,0,0,139,9,0
0.334239,1,23,0,8,0,0,85,7,0
0.457143,1,34,1,13,0,0,145,10,0
0.442464,1,31,0,11,0,0,140,10,0
0.4375,1,31,0,11,0,0,140,10,0
0.712871,1,26,2,11,0,0,90,7,0
0.542787,1,27,2,10,0,0,90,7,0
0,2,22,1,9,0,0,178,6,0
0,1,29,0,15,0,0,123,15,0
0.0716216,1,46,0,12,0,0,150,11,0
0,1,18,1,11,0,0,82,10,0
0.0870279,1,37,0,11,0,0,124,10,0
0.100318,1,37,1,13,0,0,124,10,0
0.159949,12,145,8,32,1,0,734,22,1
0,0,0,2,0,3,0,7,9,0
0,0,0,2,0,3,3,8,10,0
0.460829,2,16,13,22,3,3,77,70,1
0,0,0,2,0,2,0,20,7,0
0,1,23,5,17,2,0,109,8,0
0,1,18,0,10,0,0,72,9,0
0.565217,3,8,4,6,1,0,42,17,0
0,2,6,10,18,1,0,54,18,0
0.187952,4,24,21,36,6,1,110,104,1
0.224522,5,34,23,37,5,3,166,95,1
0.127881,3,138,39,108,6,1,599,117,1
0.289628,15,211,63,162,6,1,1024,158,1
0,1,75,34,56,1,0,323,3,0
0,1,86,8,29,1,1,442,21,0
0,2,9,5,10,2,0,56,35,0
0,1,10,4,8,1,0,34,10,0
0,3,15,10,21,0,0,115,6,0
0,1,9,8,12,2,0,36,14,1
0,1,7,3,7,2,0,20,13,0
0,2,11,11,23,1,3,80,18,0
0.0654206,7,148,58,138,3,0,723,96,0
0,1,30,26,38,2,0,191,7,1
0,2,19,21,35,4,0,85,146,0
0,1,12,3,7,1,0,38,12,0
0,1,8,2,7,1,0,33,6,0
0.0606897,1,116,20,63,0,0,516,6,1
0.0875576,1,406,28,107,1,0,1679,29,1
0,1,12,9,10,0,0,58,2,1
0,1,34,19,44,1,0,165,18,0
0.0680289,9,248,79,234,3,3,1228,140,1
0,0,3,3,4,2,1,34,9,0
0,1,22,33,32,2,0,214,20,0
0.116096,2,100,63,81,1,1,660,34,1
0,2,44,27,47,2,1,208,20,0
0.206926,1,47,15,44,1,1,203,18,1
0.0633484,2,138,36,114,2,1,638,20,1
0,1,21,17,33,1,0,119,18,0
0,3,40,19,55,1,3,276,21,0
0,2,23,18,30,3,0,101,24,0
0.165517,2,21,24,35,2,0,121,23,0
0,3,19,15,20,3,0,85,24,0
0,3,17,17,29,3,0,86,24,0
0.274809,2,15,22,26,2,0,88,23,0
0,1,21,17,31,1,0,115,18,0
0.460177,2,15,14,17,1,0,88,22,0
0,1,29,25,39,2,4,176,23,1
0,3,16,15,22,3,0,81,24,0
0,2,4,3,4,1,0,18,7,0
0,1,26,18,45,2,0,145,19,0
0,2,28,14,28,1,0,128,17,0
0,2,32,13,21,2,0,113,18,0
0.0350715,9,89,18,47,0,0,524,21,1
0.070303,1,519,48,192,0,0,2398,11,1
0,2,8,12,21,1,0,50,18,0
0,1,3,1,6,0,0,20,3,0
0,3,10,8,12,2,1,72,35,0
0,1,8,5,9,0,0,37,3,0
0,1,58,7,22,0,0,208,10,1
0,5,10,8,14,4,0,47,170,0
0,5,21,6,18,4,0,101,96,0
0,4,24,15,31,3,1,99,70,0
0,4,18,9,23,3,1,91,73,0
0,0,0,2,0,3,0,4,13,0
0,4,20,13,29,4,1,93,88,0
0,0,0,1,0,3,0,3,10,0
0.0741222,2,89,11,37,0,0,408,4,1
0,3,9,2,11,2,0,42,16,0
