CC,LCOM5,WMC,CBO,RFC,DIT,NOC,LOC,NPM,isExistBug,project
0.494318,8,16,12,22,2,3,157,39,0,BugPrediction_Eclipse
0,2,63,31,48,2,0,217,15,1,BugPrediction_Eclipse
0.20197,5,26,14,48,3,0,226,43,0,BugPrediction_Eclipse
0.29918,6,43,16,54,2,0,377,41,0,BugPrediction_Eclipse
0,4,14,8,25,1,0,159,29,0,BugPrediction_Eclipse
0.340961,3,27,7,30,2,0,243,35,0,BugPrediction_Eclipse
0.196653,3,27,11,39,2,0,271,36,0,BugPrediction_Eclipse
0,3,13,7,22,2,0,133,32,0,BugPrediction_Eclipse
0.235988,3,23,7,31,2,0,211,38,0,BugPrediction_Eclipse
0.244332,3,24,8,32,2,0,234,33,0,BugPrediction_Eclipse
0.268437,3,33,9,36,2,0,312,37,0,BugPrediction_Eclipse
0.0501742,1,91,15,30,0,0,275,0,0,BugPrediction_Eclipse
0,41,53,45,53,0,1,971,2,0,BugPrediction_Eclipse
0,3,13,7,24,2,0,141,30,0,BugPrediction_Eclipse
0,5,9,5,17,2,0,95,32,0,BugPrediction_Eclipse
0.236434,5,22,10,29,1,6,225,33,0,BugPrediction_Eclipse
0.164021,5,14,6,22,2,0,149,33,0,BugPrediction_Eclipse
0.136364,3,16,7,27,2,0,160,31,0,BugPrediction_Eclipse
0.346939,3,27,9,31,2,0,237,35,0,BugPrediction_Eclipse
0.340183,3,27,7,33,1,0,240,31,0,BugPrediction_Eclipse
0.310345,4,59,10,32,2,0,361,35,1,BugPrediction_Eclipse
0,1,4,1,4,1,0,77,8,0,BugPrediction_Eclipse
0,1,6,2,5,1,0,91,9,0,BugPrediction_Eclipse
0.301848,3,54,15,52,2,0,522,42,0,BugPrediction_Eclipse
0,4,7,5,9,1,3,100,31,0,BugPrediction_Eclipse
0.0999306,5,101,17,74,1,0,1006,48,0,BugPrediction_Eclipse
0.0210012,2,129,66,109,2,0,841,29,0,BugPrediction_Eclipse
0.431703,3,35,7,32,2,0,307,37,0,BugPrediction_Eclipse
0.0703125,3,23,9,29,2,0,218,32,0,BugPrediction_Eclipse
0.1375,3,16,7,27,2,0,160,31,0,BugPrediction_Eclipse
0,2,169,84,171,1,2,549,336,0,BugPrediction_Eclipse
0.202444,1,473,113,134,1,0,1718,4,1,BugPrediction_Eclipse
0.159052,1,105,10,23,0,0,531,4,0,BugPrediction_Eclipse
0,2,6,4,11,3,0,30,20,0,BugPrediction_Eclipse
0.334081,3,27,9,33,2,0,247,33,0,BugPrediction_Eclipse
0.0441129,1,174,21,67,2,0,714,4,1,BugPrediction_Eclipse
0,5,8,5,17,2,0,89,29,0,BugPrediction_Eclipse
0.45799,3,35,10,39,2,0,299,35,0,BugPrediction_Eclipse
0.238924,4,36,15,54,2,0,348,41,0,BugPrediction_Eclipse
0.18315,7,30,14,50,3,0,291,45,0,BugPrediction_Eclipse
0,1,5,4,11,1,26,89,30,0,BugPrediction_Eclipse
0.275862,3,19,8,30,2,0,174,31,0,BugPrediction_Eclipse
0.330377,3,28,9,34,2,0,255,36,0,BugPrediction_Eclipse
0.468553,5,37,12,50,2,0,330,37,0,BugPrediction_Eclipse
0.236264,3,29,10,39,2,0,318,35,0,BugPrediction_Eclipse
0.501805,3,32,9,36,2,0,321,35,0,BugPrediction_Eclipse
0.120553,3,31,10,41,1,0,345,34,0,BugPrediction_Eclipse
0.212866,3,42,11,45,2,0,391,39,0,BugPrediction_Eclipse
0.238351,4,35,11,49,2,0,286,36,0,BugPrediction_Eclipse
0.340961,3,27,9,31,2,0,237,35,0,BugPrediction_Eclipse
0.10568,1,36,14,41,1,0,191,3,0,BugPrediction_Eclipse
0.0731707,3,27,11,34,2,0,290,35,0,BugPrediction_Eclipse
0.337104,3,27,8,33,2,0,248,33,0,BugPrediction_Eclipse
0,5,9,5,17,2,0,95,32,0,BugPrediction_Eclipse
0.165829,3,15,7,27,3,0,132,40,0,BugPrediction_Eclipse
0.251852,3,25,10,34,1,0,241,32,0,BugPrediction_Eclipse
0.326754,3,28,9,35,1,0,249,32,0,BugPrediction_Eclipse
0.1341,3,56,16,43,2,1,184,15,0,BugPrediction_Eclipse
0,0,11,0,6,0,0,115,6,0,BugPrediction_Eclipse
0.29028,2,87,25,61,2,0,414,30,0,BugPrediction_Eclipse
0.254169,3,81,17,79,2,0,841,51,0,BugPrediction_Eclipse
0.412112,3,38,11,46,2,0,364,39,0,BugPrediction_Eclipse
0.21118,3,28,12,40,1,0,286,33,0,BugPrediction_Eclipse
0.257036,3,31,9,38,1,0,317,33,0,BugPrediction_Eclipse
0.048105,18,39,7,47,1,0,517,53,0,BugPrediction_Eclipse
0,3,7,8,10,2,2,91,34,0,BugPrediction_Eclipse
0,10,11,3,11,0,1,166,0,0,BugPrediction_Eclipse
0,1,19,12,7,1,0,77,245,0,BugPrediction_Eclipse
0.117438,3,18,9,33,3,0,175,41,0,BugPrediction_Eclipse
0,5,9,5,16,2,0,95,31,0,BugPrediction_Eclipse
0.0891892,4,27,9,27,2,0,197,33,0,BugPrediction_Eclipse
0.0566502,4,44,30,41,2,0,219,14,0,BugPrediction_Eclipse
0.170569,3,36,12,43,1,0,324,33,0,BugPrediction_Eclipse
0.217984,3,22,9,35,2,0,218,37,0,BugPrediction_Eclipse
0.284698,3,19,7,28,2,0,172,33,0,BugPrediction_Eclipse
0.244589,3,25,9,34,2,0,235,35,0,BugPrediction_Eclipse
0.23251,3,25,9,34,2,0,240,35,0,BugPrediction_Eclipse
0.106796,6,16,7,23,2,0,232,37,0,BugPrediction_Eclipse
0.323913,3,28,7,34,3,0,246,39,0,BugPrediction_Eclipse
0.332589,3,27,8,33,2,0,238,38,0,BugPrediction_Eclipse
0.0380952,23,133,37,107,2,0,662,57,0,BugPrediction_Eclipse
0.30721,5,29,16,31,2,0,111,21,0,BugPrediction_Eclipse
0.136364,3,16,7,27,2,0,158,31,0,BugPrediction_Eclipse
0.0709677,5,33,19,32,3,0,272,38,0,BugPrediction_Eclipse
0,1,5,2,4,1,0,59,8,0,BugPrediction_Eclipse
0.283688,3,19,8,28,2,0,171,36,0,BugPrediction_Eclipse
0.283333,3,23,9,34,3,0,196,42,0,BugPrediction_Eclipse
0.294717,3,65,15,62,2,0,598,44,0,BugPrediction_Eclipse
0,1,13,5,11,1,22,134,28,0,BugPrediction_Eclipse
0.308072,4,43,9,30,2,0,319,35,1,BugPrediction_Eclipse
0,1,14,3,7,0,3,112,6,0,BugPrediction_Eclipse
0.11811,3,29,11,38,2,0,283,34,0,BugPrediction_Eclipse
0.252475,3,25,10,34,2,0,243,36,0,BugPrediction_Eclipse
0.412112,3,38,12,46,2,0,361,39,0,BugPrediction_Eclipse
0.109272,3,19,8,31,2,0,192,32,0,BugPrediction_Eclipse
0.217391,3,22,10,36,2,0,216,32,0,BugPrediction_Eclipse
0.334081,3,27,9,34,2,0,239,33,0,BugPrediction_Eclipse
0.0942857,4,19,8,31,1,0,365,31,0,BugPrediction_Eclipse
0.139241,4,17,7,23,1,0,168,29,0,BugPrediction_Eclipse
0.141631,3,16,7,25,2,0,156,33,0,BugPrediction_Eclipse
0.275862,3,19,8,30,2,0,174,31,0,BugPrediction_Eclipse
0.296218,3,27,9,39,2,0,270,34,0,BugPrediction_Eclipse
0,7,8,10,11,1,6,117,33,0,BugPrediction_Eclipse
0.144442,2,298,39,131,2,0,1190,58,1,BugPrediction_Eclipse
0.310083,8,82,18,77,3,0,755,55,0,BugPrediction_Eclipse
0.225877,3,31,10,40,2,0,318,34,0,BugPrediction_Eclipse
0.294737,3,19,8,28,2,0,171,33,0,BugPrediction_Eclipse
0.211082,3,23,10,38,1,0,231,31,0,BugPrediction_Eclipse
0.276014,2,71,31,62,2,0,329,21,0,BugPrediction_Eclipse
0,1,14,8,17,1,2,168,36,0,BugPrediction_Eclipse
0.405523,3,40,13,47,2,0,390,37,0,BugPrediction_Eclipse
0.269777,3,33,9,41,2,0,303,37,0,BugPrediction_Eclipse
0.399142,3,40,13,49,2,0,389,35,0,BugPrediction_Eclipse
0.334081,3,27,9,33,2,0,248,33,0,BugPrediction_Eclipse
0.198758,3,22,7,33,2,0,247,39,0,BugPrediction_Eclipse
0.121162,1,78,23,73,0,0,611,17,1,BugPrediction_Eclipse
0,1,166,24,107,0,0,992,30,0,BugPrediction_Eclipse
0,1,42,11,39,0,0,385,15,0,BugPrediction_Eclipse
0,1,3,3,8,0,1,52,2,0,BugPrediction_Eclipse
0,1,3,1,3,0,1,224,3,0,BugPrediction_Eclipse
0,2,45,5,17,0,0,252,2,0,BugPrediction_Eclipse
0.0543572,1,54,2,14,0,0,3587,10,1,BugPrediction_Eclipse
0,1,71,3,14,0,0,396,10,0,BugPrediction_Eclipse
0,0,2,0,2,0,0,18,2,0,BugPrediction_Eclipse
0,8,26,12,30,1,0,136,18,0,BugPrediction_Eclipse
0,0,1,3,2,1,0,16,26,0,BugPrediction_Eclipse
0,1,3,3,4,3,0,47,32,1,BugPrediction_Eclipse
0,0,1,3,2,1,0,17,26,0,BugPrediction_Eclipse
0,1,3,3,5,1,0,46,28,0,BugPrediction_Eclipse
0,0,1,3,2,1,0,17,26,0,BugPrediction_Eclipse
0,1,6,3,7,3,0,104,35,1,BugPrediction_Eclipse
0,0,1,3,2,1,0,17,26,0,BugPrediction_Eclipse
0,0,1,3,2,3,0,18,30,1,BugPrediction_Eclipse
0,1,3,3,5,1,1,108,27,1,BugPrediction_Eclipse
0,2,8,2,10,1,2,107,10,1,BugPrediction_Eclipse
0.00474496,11,44,27,65,0,0,1222,33,0,BugPrediction_Eclipse
0,3,34,4,26,0,9,346,25,0,BugPrediction_Eclipse
0,4,12,7,16,0,1,176,9,0,BugPrediction_Eclipse
0.169617,7,339,34,87,1,2,2217,19,1,BugPrediction_Eclipse
0,4,5,2,5,0,6,64,5,0,BugPrediction_Eclipse
0,0,1,3,2,1,0,17,26,0,BugPrediction_Eclipse
0,0,9,5,15,0,1,112,8,0,BugPrediction_Eclipse
0,0,1,1,1,0,1,9,1,0,BugPrediction_Eclipse
0,1,1,0,1,0,4,33,1,0,BugPrediction_Eclipse
0,0,1,3,2,1,0,16,26,0,BugPrediction_Eclipse
0,0,1,3,3,1,0,19,26,0,BugPrediction_Eclipse
0,0,6,3,8,3,0,85,33,1,BugPrediction_Eclipse
0,205,205,2,205,1,0,1469,205,1,BugPrediction_Eclipse
0,0,3,1,3,0,1,66,3,0,BugPrediction_Eclipse
0,0,2,0,2,0,0,37,2,0,BugPrediction_Eclipse
0,2,11,7,9,0,0,421,3,0,BugPrediction_Eclipse
0,0,0,1,0,1,0,210,0,1,BugPrediction_Eclipse
0,0,5,0,3,0,0,37,2,0,BugPrediction_Eclipse
0.292954,5,52,27,20,1,0,177,4,0,BugPrediction_Eclipse
0.261796,1,2194,191,460,2,0,10126,19,1,BugPrediction_Eclipse
0.266927,1,56,9,38,1,0,315,17,1,BugPrediction_Eclipse
0,1,43,51,31,2,0,161,35,0,BugPrediction_Eclipse
0,0,13,8,12,0,1,84,0,1,BugPrediction_Eclipse
0,1,35,9,24,0,1,172,1,1,BugPrediction_Eclipse
0.21692,1,171,54,76,0,0,782,3,1,BugPrediction_Eclipse
0,1,87,27,43,1,0,431,241,0,BugPrediction_Eclipse
0.225251,2,253,78,122,2,0,1227,14,1,BugPrediction_Eclipse
0,2,31,18,24,1,0,115,247,0,BugPrediction_Eclipse
0,1,111,29,54,1,0,515,261,0,BugPrediction_Eclipse
0,1,76,32,22,3,0,278,32,0,BugPrediction_Eclipse
0.155197,1,212,40,73,3,0,885,6,0,BugPrediction_Eclipse
0,1,98,39,87,1,0,280,323,0,BugPrediction_Eclipse
0,0,5,3,5,0,0,28,5,0,BugPrediction_Eclipse
0,1,8,9,10,6,0,37,74,0,BugPrediction_Eclipse
0,1,2,5,4,4,0,18,66,0,BugPrediction_Eclipse
0,3,6,11,12,6,0,37,57,0,BugPrediction_Eclipse
0,3,5,6,7,4,0,35,32,0,BugPrediction_Eclipse
0,2,4,6,8,5,0,25,68,0,BugPrediction_Eclipse
0,1,14,8,12,4,0,46,44,0,BugPrediction_Eclipse
0,2,5,7,10,5,0,26,49,0,BugPrediction_Eclipse
0,1,3,7,4,5,0,19,48,0,BugPrediction_Eclipse
0,1,4,2,4,3,0,15,26,0,BugPrediction_Eclipse
0.561728,1,19,4,11,6,0,89,92,0,BugPrediction_Eclipse
0.376033,2,24,11,17,7,0,122,105,0,BugPrediction_Eclipse
0.575949,1,19,4,11,6,0,88,94,0,BugPrediction_Eclipse
0,3,7,6,8,8,0,45,108,0,BugPrediction_Eclipse
0.616949,1,19,4,11,7,0,83,93,0,BugPrediction_Eclipse
0.631944,1,19,4,11,7,0,81,92,0,BugPrediction_Eclipse
0.225806,1,35,12,13,8,0,148,109,1,BugPrediction_Eclipse
0,3,7,6,8,7,0,44,89,0,BugPrediction_Eclipse
0,3,8,5,10,6,0,31,87,0,BugPrediction_Eclipse
0,2,5,4,7,3,0,22,29,0,BugPrediction_Eclipse
0,3,7,5,9,7,0,27,104,0,BugPrediction_Eclipse
0,2,6,7,11,5,0,33,48,0,BugPrediction_Eclipse
0,1,4,10,9,6,0,18,71,0,BugPrediction_Eclipse
0,2,14,10,11,6,0,45,91,0,BugPrediction_Eclipse
0,1,2,1,3,3,0,12,24,0,BugPrediction_Eclipse
0.4,1,14,7,11,5,0,45,79,0,BugPrediction_Eclipse
0.39834,1,12,7,12,5,0,48,80,0,BugPrediction_Eclipse
0,2,9,8,11,4,0,37,54,0,BugPrediction_Eclipse
0,2,3,7,6,4,0,17,54,0,BugPrediction_Eclipse
0,2,4,8,7,4,0,27,54,0,BugPrediction_Eclipse
0,1,4,3,4,3,0,14,26,0,BugPrediction_Eclipse
0.595041,2,18,8,14,8,0,102,104,0,BugPrediction_Eclipse
0,1,11,10,10,6,0,34,88,0,BugPrediction_Eclipse
0,1,9,12,13,7,0,40,103,0,BugPrediction_Eclipse
0.159363,2,18,8,19,6,0,81,89,0,BugPrediction_Eclipse
0,2,5,5,8,7,0,31,101,0,BugPrediction_Eclipse
0.17094,2,20,8,17,6,0,81,91,0,BugPrediction_Eclipse
0,3,5,5,9,6,0,27,79,0,BugPrediction_Eclipse
0.144462,8,1163,119,484,3,0,4641,102,1,BugPrediction_Eclipse
0.425256,2,267,6,34,2,0,824,56,0,BugPrediction_Eclipse
0,0,1,0,1,0,0,16,1,0,BugPrediction_Eclipse
0,0,2,3,3,4,0,11,72,0,BugPrediction_Eclipse
0,1,6,13,13,4,0,30,145,0,BugPrediction_Eclipse
0,0,3,5,5,4,0,15,72,0,BugPrediction_Eclipse
0,0,2,3,3,4,0,11,75,0,BugPrediction_Eclipse
0,0,3,6,5,5,0,19,90,0,BugPrediction_Eclipse
0.77562,1,53,1,5,0,0,221,3,0,BugPrediction_Eclipse
0,0,3,5,5,4,0,15,69,0,BugPrediction_Eclipse
0.327676,1,324,38,172,2,2,1651,83,0,BugPrediction_Eclipse
0.41954,1,11,10,13,7,0,58,108,0,BugPrediction_Eclipse
0.392473,1,12,12,15,7,0,62,121,0,BugPrediction_Eclipse
0.272388,1,18,18,25,7,0,85,164,0,BugPrediction_Eclipse
0,0,2,3,3,4,0,11,71,0,BugPrediction_Eclipse
0,3,69,35,40,1,2,325,9,1,BugPrediction_Eclipse
0,1,28,17,10,3,0,114,30,0,BugPrediction_Eclipse
0,1,34,13,19,3,0,169,6,0,BugPrediction_Eclipse
0,0,3,1,3,0,0,17,3,0,BugPrediction_Eclipse
0,2,6,10,11,6,0,32,57,0,BugPrediction_Eclipse
0,2,11,7,11,4,0,39,44,0,BugPrediction_Eclipse
0,2,9,6,10,6,0,28,91,0,BugPrediction_Eclipse
0,1,2,6,4,5,0,12,48,0,BugPrediction_Eclipse
0,1,4,2,4,3,0,15,26,0,BugPrediction_Eclipse
0,2,5,6,11,5,0,30,48,0,BugPrediction_Eclipse
0.25656,2,24,10,14,5,0,74,79,0,BugPrediction_Eclipse
0,2,4,5,7,3,0,22,25,0,BugPrediction_Eclipse
0,1,4,3,4,3,0,13,26,0,BugPrediction_Eclipse
0.366337,2,8,9,10,8,0,57,99,0,BugPrediction_Eclipse
0,2,5,8,9,8,0,30,100,0,BugPrediction_Eclipse
0,2,16,14,15,6,0,68,90,0,BugPrediction_Eclipse
0,1,14,13,14,7,0,45,103,0,BugPrediction_Eclipse
0,2,5,6,9,8,0,19,96,0,BugPrediction_Eclipse
0,1,10,10,14,6,0,40,82,0,BugPrediction_Eclipse
0,2,15,13,15,7,0,42,100,0,BugPrediction_Eclipse
0,2,11,12,15,6,0,37,84,0,BugPrediction_Eclipse
0,2,5,5,9,7,0,19,89,0,BugPrediction_Eclipse
0.503743,6,176,62,135,3,1,1214,88,1,BugPrediction_Eclipse
0,1,10,2,6,2,0,47,51,0,BugPrediction_Eclipse
0,239,239,95,239,0,24,872,239,0,BugPrediction_Eclipse
0,0,10,4,10,0,1,76,10,0,BugPrediction_Eclipse
0.688224,1,1701,66,234,1,2,8433,45,1,BugPrediction_Eclipse
0,2,8,2,7,0,0,37,4,0,BugPrediction_Eclipse
0,2,84,10,32,0,0,361,19,1,BugPrediction_Eclipse
0.0786899,1,112,36,76,1,3,881,16,1,BugPrediction_Eclipse
0,1,27,1,11,0,0,193,11,0,BugPrediction_Eclipse
0.986301,4,4,1,4,0,0,39,4,0,BugPrediction_Eclipse
0.514517,3,147,34,152,2,0,1380,70,0,BugPrediction_Eclipse
0,1,30,4,12,0,0,160,4,0,BugPrediction_Eclipse
0,1,38,1,5,0,0,173,4,1,BugPrediction_Eclipse
0.163347,1,166,39,53,0,1,688,2,0,BugPrediction_Eclipse
0.390582,2,190,52,126,3,1,897,72,0,BugPrediction_Eclipse
0,25,25,7,25,1,0,189,25,0,BugPrediction_Eclipse
0.266667,1,49,8,15,3,0,124,6,0,BugPrediction_Eclipse
0.322811,2,56,13,41,6,0,247,113,0,BugPrediction_Eclipse
0.119072,15,183,31,84,1,6,721,19,1,BugPrediction_Eclipse
0.261153,9,104,44,84,2,3,440,45,0,BugPrediction_Eclipse
0,6,17,11,16,3,3,112,39,0,BugPrediction_Eclipse
0.333134,2,101,37,76,4,3,373,76,1,BugPrediction_Eclipse
0.0920245,1,122,37,43,4,3,385,68,1,BugPrediction_Eclipse
0.340426,4,42,22,41,4,0,146,59,0,BugPrediction_Eclipse
0.193922,1,43,22,43,5,2,161,53,0,BugPrediction_Eclipse
0,1,38,15,35,4,0,161,64,0,BugPrediction_Eclipse
0,1,61,19,47,4,0,212,65,0,BugPrediction_Eclipse
0.215686,3,14,13,21,6,2,80,85,0,BugPrediction_Eclipse
0.137778,2,40,18,43,5,0,177,74,0,BugPrediction_Eclipse
0.282051,3,13,10,18,6,2,75,86,0,BugPrediction_Eclipse
0,1,41,25,56,3,0,193,33,1,BugPrediction_Eclipse
0,1,77,32,64,4,1,242,72,0,BugPrediction_Eclipse
0.707271,2,422,20,126,5,4,1888,107,0,BugPrediction_Eclipse
0,1,30,9,25,3,0,125,35,0,BugPrediction_Eclipse
0,2,9,6,9,3,3,57,30,0,BugPrediction_Eclipse
0,2,16,12,23,4,0,78,32,0,BugPrediction_Eclipse
0,2,34,25,35,3,0,122,32,0,BugPrediction_Eclipse
0.0809717,1,152,28,78,4,0,537,79,1,BugPrediction_Eclipse
0.241379,3,18,9,13,6,0,82,72,0,BugPrediction_Eclipse
0,1,18,22,32,4,1,99,65,0,BugPrediction_Eclipse
0.115502,7,52,33,63,3,0,306,54,1,BugPrediction_Eclipse
0.213961,1,48,14,38,6,0,352,116,0,BugPrediction_Eclipse
0.047699,1,183,36,77,2,0,653,40,1,BugPrediction_Eclipse
0.0771605,2,48,19,34,5,2,167,81,0,BugPrediction_Eclipse
0,1,141,21,62,5,0,488,92,0,BugPrediction_Eclipse
0.223785,3,122,49,106,3,0,484,58,1,BugPrediction_Eclipse
0,2,17,12,22,4,0,81,32,0,BugPrediction_Eclipse
0,1,32,17,50,3,0,183,31,0,BugPrediction_Eclipse
0.718062,3,26,9,12,6,0,95,72,0,BugPrediction_Eclipse
0,6,9,11,15,3,0,44,32,0,BugPrediction_Eclipse
0.415643,2,179,26,76,6,0,836,119,0,BugPrediction_Eclipse
0.200321,2,104,34,76,3,2,415,41,1,BugPrediction_Eclipse
0.262388,9,252,31,95,3,16,953,60,0,BugPrediction_Eclipse
0,2,6,5,9,6,0,64,80,0,BugPrediction_Eclipse
0.3,4,11,9,14,6,0,51,73,0,BugPrediction_Eclipse
0.13056,1,88,38,76,4,5,279,46,0,BugPrediction_Eclipse
0.222142,3,174,36,107,5,4,605,88,1,BugPrediction_Eclipse
0.696581,3,26,9,12,6,0,96,72,0,BugPrediction_Eclipse
0.029728,1,91,19,53,3,0,386,31,0,BugPrediction_Eclipse
0,1,91,30,95,3,0,505,31,1,BugPrediction_Eclipse
0,1,47,16,42,3,0,233,32,0,BugPrediction_Eclipse
0,2,11,5,9,2,5,62,24,0,BugPrediction_Eclipse
0,2,23,19,28,5,0,113,55,0,BugPrediction_Eclipse
0,1,18,17,36,5,0,96,90,1,BugPrediction_Eclipse
0.0783939,3,37,13,22,6,1,133,77,0,BugPrediction_Eclipse
0,1,2,4,4,7,0,13,79,0,BugPrediction_Eclipse
0.215132,2,293,51,84,2,3,844,26,1,BugPrediction_Eclipse
0.375717,1,58,22,44,5,1,178,83,0,BugPrediction_Eclipse
0,1,24,18,31,4,0,95,66,0,BugPrediction_Eclipse
0,4,5,10,14,7,0,29,88,0,BugPrediction_Eclipse
0,4,5,9,14,7,0,28,89,0,BugPrediction_Eclipse
0,1,31,19,32,6,1,128,95,1,BugPrediction_Eclipse
0,6,28,14,31,5,0,121,80,0,BugPrediction_Eclipse
0.278846,1,63,19,43,5,1,223,85,0,BugPrediction_Eclipse
0,3,16,13,26,6,1,73,84,0,BugPrediction_Eclipse
0,3,11,11,16,4,0,53,40,0,BugPrediction_Eclipse
0,3,11,15,16,7,2,56,102,0,BugPrediction_Eclipse
0.168196,3,20,14,26,6,2,87,83,0,BugPrediction_Eclipse
0,1,20,15,31,3,0,126,32,0,BugPrediction_Eclipse
0,3,8,8,10,4,3,40,66,0,BugPrediction_Eclipse
0.181637,1,62,28,63,4,3,230,44,0,BugPrediction_Eclipse
0.0711806,3,47,13,18,6,1,139,74,0,BugPrediction_Eclipse
0,1,2,4,4,7,0,13,76,0,BugPrediction_Eclipse
0,2,3,1,4,5,3,17,68,0,BugPrediction_Eclipse
0,2,5,6,6,5,1,24,69,0,BugPrediction_Eclipse
0,1,68,23,35,2,2,206,22,0,BugPrediction_Eclipse
0.267471,2,171,39,103,4,5,541,77,1,BugPrediction_Eclipse
0.216955,3,70,33,51,3,4,218,51,1,BugPrediction_Eclipse
0,2,12,7,10,5,2,50,80,0,BugPrediction_Eclipse
0.295082,1,16,8,11,5,1,56,71,0,BugPrediction_Eclipse
0,7,9,9,14,6,0,50,74,0,BugPrediction_Eclipse
0,2,4,1,5,5,5,24,69,0,BugPrediction_Eclipse
0.326468,2,53,13,41,6,0,246,113,0,BugPrediction_Eclipse
0.820397,3,54,6,29,4,4,1499,84,0,BugPrediction_Eclipse
0.277493,1,101,22,61,7,2,345,95,1,BugPrediction_Eclipse
0.117601,1,69,22,58,7,1,280,96,1,BugPrediction_Eclipse
0,2,10,9,14,6,0,54,87,0,BugPrediction_Eclipse
0,2,8,7,10,6,0,41,86,0,BugPrediction_Eclipse
0.25,1,119,39,94,5,2,443,86,1,BugPrediction_Eclipse
0.159078,5,338,38,133,6,3,1074,100,1,BugPrediction_Eclipse
0,4,12,11,20,7,1,57,93,1,BugPrediction_Eclipse
0,3,20,18,32,6,1,121,86,0,BugPrediction_Eclipse
0,3,39,20,42,5,4,123,79,0,BugPrediction_Eclipse
0.696203,3,17,12,18,4,4,54,68,1,BugPrediction_Eclipse
0,1,74,29,57,3,2,247,35,1,BugPrediction_Eclipse
0,1,9,9,12,5,0,47,71,0,BugPrediction_Eclipse
0.259597,4,261,39,130,6,5,858,97,1,BugPrediction_Eclipse
0,3,20,15,29,5,6,79,80,0,BugPrediction_Eclipse
0,7,25,13,25,2,19,127,29,0,BugPrediction_Eclipse
0.288,6,21,13,22,5,3,104,74,0,BugPrediction_Eclipse
0,1,9,5,10,6,0,61,79,0,BugPrediction_Eclipse
0,2,13,5,12,3,2,55,37,0,BugPrediction_Eclipse
0,7,10,11,18,6,2,51,86,0,BugPrediction_Eclipse
0,1,79,28,68,3,0,379,31,1,BugPrediction_Eclipse
0,2,32,20,56,4,0,194,39,0,BugPrediction_Eclipse
0,9,22,16,27,5,3,111,78,0,BugPrediction_Eclipse
0,1,13,15,25,3,0,61,31,0,BugPrediction_Eclipse
0.307087,4,11,9,14,6,0,52,73,0,BugPrediction_Eclipse
0.201866,1,135,31,92,4,0,846,42,1,BugPrediction_Eclipse
0.229246,1,339,64,186,3,2,1363,64,1,BugPrediction_Eclipse
0.358289,2,29,13,25,4,0,97,45,0,BugPrediction_Eclipse
